date,Alter,Woche,untGrenze,Erwartung,obeGrenze,hochrechnung
2020-01-05,65,1,1150,1241,1332,1151
2020-01-12,65,2,1158,1249,1340,1182
2020-01-19,65,3,1166,1258,1349,1204
2020-01-26,65,4,1174,1266,1357,1213
2020-02-02,65,5,1181,1273,1365,1244
2020-02-09,65,6,1188,1281,1373,1176
2020-02-16,65,7,1189,1281,1373,1191
2020-02-23,65,8,1180,1272,1363,1151
2020-03-01,65,9,1170,1262,1353,1133
2020-03-08,65,10,1151,1241,1332,1157
2020-03-15,65,11,1131,1221,1311,1223
2020-03-22,65,12,1108,1198,1287,1315
2020-03-29,65,13,1086,1174,1262,1404
2020-04-05,65,14,1065,1153,1240,1651
2020-04-12,65,15,1047,1133,1220,null
2020-04-19,65,16,1028,1114,1200,null
2020-04-26,65,17,1010,1096,1181,null
2020-05-03,65,18,993,1077,1162,null
2020-05-10,65,19,979,1063,1147,null
2020-05-17,65,20,965,1048,1131,null
2020-05-24,65,21,954,1037,1120,null
2020-05-31,65,22,948,1031,1114,null
2020-06-07,65,23,943,1026,1108,null
2020-06-14,65,24,943,1025,1108,null
2020-06-21,65,25,945,1028,1111,null
2020-06-28,65,26,948,1031,1114,null
2020-07-05,65,27,954,1037,1120,null
2020-07-12,65,28,955,1038,1121,null
2020-07-19,65,29,956,1039,1122,null
2020-07-26,65,30,955,1038,1121,null
2020-08-02,65,31,954,1037,1120,null
2020-08-09,65,32,954,1037,1120,null
2020-08-16,65,33,953,1036,1119,null
2020-08-23,65,34,955,1038,1121,null
2020-08-30,65,35,962,1045,1129,null
2020-09-06,65,36,969,1053,1137,null
2020-09-13,65,37,979,1063,1147,null
2020-09-20,65,38,988,1072,1157,null
2020-09-27,65,39,997,1082,1167,null
2020-10-04,65,40,1008,1093,1178,null
2020-10-11,65,41,1017,1102,1188,null
2020-10-18,65,42,1026,1112,1197,null
2020-10-25,65,43,1030,1117,1203,null
2020-11-01,65,44,1035,1122,1208,null
2020-11-08,65,45,1045,1131,1218,null
2020-11-15,65,46,1054,1141,1228,null
2020-11-22,65,47,1063,1151,1238,null
2020-11-29,65,48,1075,1162,1250,null
2020-12-06,65,49,1086,1174,1262,null
2020-12-13,65,50,1098,1187,1276,null
2020-12-20,65,51,1110,1199,1288,null
2020-12-27,65,52,1122,1212,1301,null
2021-01-03,65,53,1134,1224,1314,null
