Endend;Alter;Woche;obeGrenze;hochrechnung;untGrenze
05.01.2020;0-64;1;202;145;135
12.01.2020;0-64;2;203;165;136
19.01.2020;0-64;3;204;181;137
26.01.2020;0-64;4;205;178;138
02.02.2020;0-64;5;206;159;138
09.02.2020;0-64;6;206;183;139
16.02.2020;0-64;7;207;161;139
23.02.2020;0-64;8;206;176;138
01.03.2020;0-64;9;205;168.9;137
08.03.2020;0-64;10;203;164.5;136
15.03.2020;0-64;11;201;152.7;134
22.03.2020;0-64;12;198;181.4;131
29.03.2020;0-64;13;195;206;129
05.01.2020;65+;1;1332;1151;1150
12.01.2020;65+;2;1340;1181;1158
19.01.2020;65+;3;1349;1203;1166
26.01.2020;65+;4;1357;1212;1174
02.02.2020;65+;5;1365;1242;1181
09.02.2020;65+;6;1373;1175;1188
16.02.2020;65+;7;1373;1189;1189
23.02.2020;65+;8;1363;1149;1180
01.03.2020;65+;9;1353;1143;1170
08.03.2020;65+;10;1332;1167.5;1151
15.03.2020;65+;11;1311;1223.5;1131
22.03.2020;65+;12;1287;1315.8;1108
29.03.2020;65+;13;1262;1435.1;1086
